Numero;Larghezza;Altezza;Nome;Spessore;barcode_decodifica;rifOrdine;descr;dimensioni;rifOrdinePrd;opri_numdoc;ColoreFinituraSpessore;LarghezzaLastra;AltezzaLastra;Job;Recupero;Sfrido;Pal;PalType;unload;islastpiece;notlabelling;L1;L2;L3;L4;Utensile;ParametriTaglio;DescrizioneMateriale
1;2421;620;2506875_2421x620x20;20;6898667;OV ITA 2506875 R.6/0;TOP LINEARE P20A 2421x620 DEKTO MICRON 20 mm MATE;Dimensioni: 2421 x 620 x 20;OP S 291555 R.1/0;291555;MICRMX20;0;0;3717;false;false;top;3;true;;false;;;;;BAICCHI-SPECIAL;BAICCHI-SPECIAL-CE-DK1-20mm;DEKTON MICRON 20mm MATE
1;1521;620;2506875_1521x620x20;20;6898668;OV ITA 2506875 R.11/0;TOP LINEARE P20A 1521x620 DEKTO MICRON 20 mm MATE;Dimensioni: 1521 x 620 x 20;OP S 291555 R.2/0;291555;MICRMX20;0;0;3717;false;false;top;3;true;;false;;Milling10;Milling;;BAICCHI-SPECIAL;BAICCHI-SPECIAL-CE-DK1-20mm;DEKTON MICRON 20mm MATE
1;1521;60;2506875_1521x60x20;20;6898670;OV ITA 2506875 R.21/0;ALZATINA LI P20A 1521x60 DEKTO MICRON 20 mm MATE;Dimensioni: 1521 x 60 x 20;OP S 291555 R.5/0;291555;MICRMX20;0;0;3717;false;false;alz;1;true;;true;;;;;BAICCHI-SPECIAL;BAICCHI-SPECIAL-CE-DK1-20mm;DEKTON MICRON 20mm MATE
1;2421;60;2506875_2421x60x20;20;6898669;OV ITA 2506875 R.16/0;ALZATINA LI P20A 2421x60 DEKTO MICRON 20 mm MATE;Dimensioni: 2421 x 60 x 20;OP S 291555 R.4/0;291555;MICRMX20;0;0;3717;false;false;alz;1;true;;true;;;;;BAICCHI-SPECIAL;BAICCHI-SPECIAL-CE-DK1-20mm;DEKTON MICRON 20mm MATE
1;1257;620;2507083_1257x620x20;20;6900533;OV ITA 2507083 R.11/0;TOP LINEARE P20A 1257x620 DEKTO MICRON 20 mm MATE;Dimensioni: 1257 x 620 x 20;OP S 291704 R.2/0;291704;MICRMX20;0;0;3717;false;false;top;3;true;;false;Miter45;;Drip75&30&10;Added50,Added100,Added150,Added200;BAICCHI-SPECIAL;BAICCHI-SPECIAL-CE-DK1-20mm;DEKTON MICRON 20mm MATE
1;1920;620;2507083_1920x620x20;20;6900536;OV ITA 2507083 R.16/0;TOP LINEARE P20A 1920x620 DEKTO MICRON 20 mm MATE;Dimensioni: 1920 x 620 x 20;OP S 291704 R.3/0;291704;MICRMX20;0;0;3717;false;false;top;3;true;;false;;;;;BAICCHI-SPECIAL;BAICCHI-SPECIAL-CE-DK1-20mm;DEKTON MICRON 20mm MATE
1;1660;620;2507083_1660x620x20;20;6900525;OV ITA 2507083 R.6/0;TOP LINEARE P20A 1660x620 DEKTO MICRON 20 mm MATE;Dimensioni: 1660 x 620 x 20;OP S 291704 R.1/0;291704;MICRMX20;0;0;3717;false;false;top;3;true;;false;;;;;BAICCHI-SPECIAL;BAICCHI-SPECIAL-CE-DK1-20mm;DEKTON MICRON 20mm MATE
1;1864;140;2507083_1864x140x20;20;6900542;OV ITA 2507083 R.21/0;SCHIENALE M P20A 1864x140 DEKTO MICRON 20 mm MATE;Dimensioni: 1864 x 140 x 20;OP S 291704 R.4/0;291704;MICRMX20;0;0;3717;false;false;sch;2;true;;false;Rim40&10;Rim40&10;Rim40&10;Rim40&10;BAICCHI-SPECIAL;BAICCHI-SPECIAL-CE-DK1-20mm;DEKTON MICRON 20mm MATE
