Numero;Larghezza;Altezza;Nome;Spessore;barcode_decodifica;rifOrdine;descr;dimensioni;rifOrdinePrd;opri_numdoc;ColoreFinituraSpessore;LarghezzaLastra;AltezzaLastra;Job;Recupero;Sfrido;Pal;PalType;unload;islastpiece;notlabelling;l1;l2;l3;l4;Utensile;ParametriTaglio;DescrizioneMateriale
1;1980;600;2507009_1963x600x12;12;6897202;OV ITA 2507009 R.6/0;TOP LINEARE P12A 1963x600 GRES ROYAL STATUARIO 12;Dimensioni: 1963 x 600 x 12;OP S 291428 R.1/0;291428;STLENA12;3200;1600;3717;false;false;top;3;true;;false;;;;;BAICCHI-SPECIAL;BAICCHI-SPECIAL-CE-NC1-12mm;NUOVO CORSO STATUARIO LEONARDO 12mm NATURALE
1;2839;370;2507009_2839x370x12;12;6897218;OV ITA 2507009 R.36/0;SCHIENALE M P12A 2839x370 GRES ROYAL STATUARIO 12;Dimensioni: 2839 x 370 x 12;OP S 291428 R.7/0;291428;STLENA12;3200;1600;3717;false;false;sch;2;true;;false;;;;;BAICCHI-SPECIAL;BAICCHI-SPECIAL-CE-NC1-12mm;NUOVO CORSO STATUARIO LEONARDO 12mm NATURALE
1;1050;344;2507009_1031x344x12;12;6897211;OV ITA 2507009 R.11/0;TOP METRO Q P12A 1031x344 GRES ROYAL STATUARIO 12;Dimensioni: 1031 x 344 x 12;OP S 291428 R.2/0;291428;STLENA12;3200;1600;3717;false;false;sch;2;true;;false;;;;;BAICCHI-SPECIAL;BAICCHI-SPECIAL-CE-NC1-12mm;NUOVO CORSO STATUARIO LEONARDO 12mm NATURALE
1;1905;950;2507009_1905x950x12;12;6897214;OV ITA 2507009 R.16/0;TOP METRO Q P12A 1905x950 GRES ROYAL STATUARIO 12;Dimensioni: 1905 x 950 x 12;OP S 291428 R.3/0;291428;STLENA12;3200;1600;3717;false;false;iso;4;true;;false;;;;;BAICCHI-SPECIAL;BAICCHI-SPECIAL-CE-NC1-12mm;NUOVO CORSO STATUARIO LEONARDO 12mm NATURALE
1;1580;944;2507009_1580x944x12;12;6897215;OV ITA 2507009 R.21/0;TOP METRO Q P12A 1580x944 GRES ROYAL STATUARIO 12;Dimensioni: 1580 x 944 x 12;OP S 291428 R.4/0;291428;STLENA12;3200;1600;3717;false;false;iso;4;true;;false;;;;;BAICCHI-SPECIAL;BAICCHI-SPECIAL-CE-NC1-12mm;NUOVO CORSO STATUARIO LEONARDO 12mm NATURALE
1;1585;50;2507009_1585x50x12;12;6897216;OV ITA 2507009 R.26/0;ALZATINA LI P12A 1585x50 GRES ROYAL STATUARIO 12 m;Dimensioni: 1585 x 50 x 12;OP S 291428 R.5/0;291428;STLENA12;3200;1600;3717;false;false;alz;1;true;;true;;tolto;;tolto;BAICCHI-SPECIAL;BAICCHI-SPECIAL-CE-NC1-12mm;NUOVO CORSO STATUARIO LEONARDO 12mm NATURALE
1;307;50;2507009_307x50x12;12;6897217;OV ITA 2507009 R.31/0;ALZATINA LI P12A 307x50 GRES ROYAL STATUARIO 12 mm;Dimensioni: 307 x 50 x 12;OP S 291428 R.6/0;291428;STLENA12;3200;1600;3717;false;false;alz;1;true;;true;;tolto;;tolto;BAICCHI-SPECIAL;BAICCHI-SPECIAL-CE-NC1-12mm;NUOVO CORSO STATUARIO LEONARDO 12mm NATURALE
