Numero;Larghezza;Altezza;Nome;Spessore;barcode_decodifica;rifOrdine;descr;dimensioni;rifOrdinePrd;opri_numdoc;ColoreFinituraSpessore;LarghezzaLastra;AltezzaLastra;Job;Recupero;Sfrido;Pal;PalType;unload;islastpiece;notlabelling;l1;l2;l3;l4;Utensile;ParametriTaglio;DescrizioneMateriale
1;3060;620;2507025_3060x620x12;12;6897470;OV ITA 2507025 R.6/0;TOP LINEARE P12A 3060x620 GRES ROYAL CALACATTA 2.0;Dimensioni: 3060 x 620 x 12;OP S 291447 R.1/0;291447;ROCANA12;3200;1600;3717;false;false;top;3;true;;false;;;;;BAICCHI-SPECIAL;BAICCHI-SPECIAL-CE-NC1-12mm;NUOVO CORSO ROYAL CALACATTA 12mm NATURALE
1;1240;620;2507025_1240x620x12;12;6897471;OV ITA 2507025 R.11/0;TOP LINEARE P12A 1240x620 GRES ROYAL CALACATTA 2.0;Dimensioni: 1240 x 620 x 12;OP S 291447 R.2/0;291447;ROCANA12;3200;1600;3717;false;false;top;3;true;;false;;;;;BAICCHI-SPECIAL;BAICCHI-SPECIAL-CE-NC1-12mm;NUOVO CORSO ROYAL CALACATTA 12mm NATURALE
1;3060;588;2507025_3060x588x12;12;6897473;OV ITA 2507025 R.21/0;SCHIENALE M P12A 3060x588 GRES ROYAL CALACATTA 2.0;Dimensioni: 3060 x 588 x 12;OP S 291447 R.4/0;291447;ROCANA12;3200;1600;3717;false;false;top;3;true;;false;;;;;BAICCHI-SPECIAL;BAICCHI-SPECIAL-CE-NC1-12mm;NUOVO CORSO ROYAL CALACATTA 12mm NATURALE
1;1847;50;2507025_1847x50x12;12;6897472;OV ITA 2507025 R.16/0;ALZATINA LI P12A 1847x50 GRES ROYAL CALACATTA 2.0;Dimensioni: 1847 x 50 x 12;OP S 291447 R.3/0;291447;ROCANA12;3200;1600;3717;false;false;alz;1;true;;true;;tolto;;tolto;BAICCHI-SPECIAL;BAICCHI-SPECIAL-CE-NC1-12mm;NUOVO CORSO ROYAL CALACATTA 12mm NATURALE
